seq,word,symbol,tense,paraphrase
01/51,too,英[皿:]美[tu],,ad.也；太；非常
02/51,also,英[]美[OISOU],,ad.也conj.另夕卜
03/51,sometimes,英[SAmtaimz]美[SAmJaimz],,(=attimes)ad.有时
04/51,again,英[n'gen]美[。gm],,ad.再一次；再
05/51,where,英[ws(r)]美[wer],,ad.在哪里
06/51,here,英[hio(r)]美[hir],,ad.在这里
07/51,how,英[hau]美[hau],,ad.怎样；多少
08/51,always,英[o:lweiz]美[olwez],,ad.总是；永远
09/51,but,英[b刈]美[bAt],,conj.但是prep.除.....以外ad.只不过....
10/51,when,英[wen]美[w£n],,conj.当....的时候
11/51,or,英[b；(r)]美[6],,conj.或；否则
12/51,welcome,英[welkom]美[wdkom],,int.n.&v.欢迎a.受欢迎的
13/51,goodbye,英[Lgud'bai]美[Lgud'ba],(bye),int.再见
14/51,after,英[&徐⑻]美[&fto(r)],,prep&conj.S.............之后ad.以后a.后来的
15/51,of,英[3]美[AV],,prep当中的
16/51,from,英[]美[丘Am],,prep.从...起；来自
17/51,like,英[Ek]美[Ek],,prep.跟...一样vt.喜欢
18/51,with,英[w冏]美[wiO],,prep.关于；和
19/51,for,英[必⑻]美的[向],,prep.为了...conj.因为
20/51,down,英[daun]美[daun],,prep.沿....而下ad.向下
21/51,behind,英[bi'hamd]美[bi'hamd],,prep.在....后面ad.在后面;向后
22/51,by,英[bai]美[bai],,prep.在....旁；乘坐……ad.经过
23/51,beside,英[bi1said]美[bi'said],,prep.在...旁边;靠近
24/51,on,英[Dn]美[an],,prep.在....上
25/51,before,英[bi'fb:(r)]美[bHfbr],,prep.在....之前conj.在……之前a.从前
26/51,between,英[bi'twim]美[bi'twin],,prep.在.....中间ad.当中
27/51,your,英[g(r)]美[jur],,pron.你的；你们的
28/51,what,英[wDt]美[wat],,pron.什么a.多么
29/51,who,英[hu:]美[hu],,pron.谁
30/51,whose,英[hu:z]美[huz],,pron.谁的
31/51,him,英[him]美[him],,pron.他（宾格）
32/51,them,英[6om]美[Oom],,pron.他/她/它们（宾格）
33/51,his,英[hiz]美[hiz],,pron.他的
34/51,they,英[版i]美[加],,pron.他们;人们
35/51,their,英[呼钝叨]美[der],,proa他们的
36/51,its,英[㈣]美[rts],,pron.它的
37/51,she,英[饰]美饰],,pron.她
38/51,her,英[心⑻]美[13],,pron.她，她的
39/51,me,英[mi]美[mi],,pron.我
40/51,my,英[mai]美[mai],,pron.我的
41/51,our,英[Q；(r)]美[aor],,pron我们的
42/51,many,英[meni]美[msni],,(more，most)pron.许多人a.许多的
43/51,yesterday,英[jes匕dei]美[jestordei],,n.&ad.昨天
44/51,aunt,英[a；nt]美0nt],,n.阿姨；舅母
45/51,dad,英[dæd]美[dæd],,n.爸爸
46/51,class,英[kla:s]美[klæs],,n.班；班级
47/51,evening,英[i:vniD]美[ivnnj],,n.傍晚，晚上
48/51,back,英[Ixek]美[bxk],,n.背a.背部的ad.以前
49/51,nose,英[nouz]美[nouz],,n.鼻子
50/51,arm,英[a:m]美[arm],,5n.臂，手臂
51/51,ice,英[ais]美[⑶s],,n.冰
